company_name,dividend_type,dividend_amount,announcement_date,books_closure_date,payment_date
Standard Chartered Bank,Interim Dividend,Kes.8.00,22-Aug-2024,18-Sep-2024,08-Oct-2024
Umeme Limited,Interim Dividend,Ushs.26.00,10-Oct-2024,10-Oct-2024,31-Oct-2024
Kenya Re Insurance Corporation Ltd,Bonus Issue,1:1,30-May-2024,25-Jun-2024,26-Aug-2024
HF Group Plc,Rights Issue,,13-Aug-2024,04-Nov-2024,23-Dec-2024
Stanbic Holdings Plc,Interim Dividend,Kes.1.84,08-Jul-2024,02-Sep-2024,
Laptrust Imara I-REIT,,,01-Aug-2024,21-Aug-2024,30-Sep-2024
Centum Investment Company Plc,Final Dividend,Kes.0.32,30-Jul-2024,,
East African Breweries Plc,Final Dividend,Kes.6.00,30-Jul-2024,16-Sep-2024,28-Oct-2024
BAT Kenya Plc,Interim Dividend,Kes.5.00,25-Jul-2024,30-Aug-2024,27-Sep-2024
Kapchorua Tea Kenya Plc,Final Dividend,Kes.15.00,28-Jun-2024,31-Jul-2024,2-Sep-2024
Williamson Tea Kenya Plc,Final Dividend,Kes.15.00,28-Jun-2024,31-Jul-2024,2-Sep-2024
Diamond Trust Bank Kenya,Final Dividend,Kes.6.00,21-Jun-2024,24-May-2024,
Kenya Re Insurance,Final Dividend,Kes.0.30,25-Jun-2024,25-Jun-2024,9-Aug-2024
Jubilee Holdings Limited,Special Dividend,Kes.2.30,30-May-2024,25-Jun-2024,25-Jul-2024
Jubilee Holdings Limited,Final Dividend,Kes.10.00,30-May-2024,25-Jun-2024,25-Jul-2024
BK Group Plc,Final Dividend,FRw.24.18,22-May-2024,14-Jun-2024,1-Jul-2024
Laptrust Imara I-REIT,,,21-May-2024,,
CIC Insurance Group Plc,Final Dividend,Kes.0.13,04-Jun-2024,04-Jun-2024,08-Jul-2024
Safaricom Plc,Final Dividend,Kes.0.65,09-May-2024,31-Jul-2024,31-Aug-2024
BOC Kenya Plc,Final Dividend,Kes.6.05,31-May-2024,31-May-2024,21-Jul-2024
TotalEnergies Marketing Kenya Plc,Final Dividend,Kes.1.92,31-Jul-2024,27-Jun-2024,
Liberty Kenya Holdings Plc,Final Dividend,Kes.0.373,14-Jun-2024,,
Bamburi Cement Plc,Final Dividend,Kes.5.47,24-May-2024,24-May-2024,25-Jul-2024
NCBA Group Plc,Final Dividend,Kes.3.00,27-Mar-2024,30-Apr-2024,29-May-2024
Nairobi Securities Exchange Plc,Final Dividend,Kes.0.16,02-Apr-2024,30-May-2024,31-Jul-2024
Diamond Trust Bank Kenya Ltd,Final Dividend,Kes.6.00,27-Mar-2024,24-May-2024,28-Jun-2024
Equity Group Holdings Plc,Final Dividend,Kes.4.00,27-Mar-2024,24-May-2024,28-Jun-2024
Umeme Limited,Final Dividend,Ushs.54.20,28-Jun-2024,28-Jun-2024,19-Jul-2024
I&M Group Plc,Final Dividend,Kes.2.25,18-Apr-2024,18-Apr-2024,24-May-2024
Limuru Tea PLC,Final Dividend,Kes.1.00,15-Apr-2024,15-Apr-2024,
The Co-operative Bank of Kenya Ltd,Final Dividend,Kes.1.50,29-Apr-2024,29-Apr-2024,10-Jun-2024
Kakuzi Plc,Final Dividend,Kes.24.00,31-May-2024,31-May-2024,15-Jun-2024
Absa Bank Kenya Plc,Final Dividend,Kes.1.35,18-Mar-2024,30-Apr-2024,23-May-2024
Standard Chartered Bank Kenya Limited,Final Dividend,Kes.23.00,12-Mar-2024,19-Apr-2024,30-May-2024
Stanbic Holdings Plc,Final Dividend,Kes.14.20,06-Mar-2024,17-May-2024,
Safaricom Plc,Interim Dividend,Kes.0.55,22-Feb-2024,15-Mar-2024,31-Mar-2024
B.A.T Kenya Plc,Final Dividend,Kes.50.00,15-Feb-2024,24-May-2024,26-Jun-2024
East African Breweries Plc,Interim Dividend,Kes.1.00,26-Jan-2024,16-Feb-2024,26-Apr-2024
Sasini Plc,Final Dividend,Kes.0.50,08-Jan-2024,22-Feb-2024,22-Mar-2024
Standard Chartered Bank Kenya,Interim Dividend,Kes.6.00,22-Nov-2023,14-Dec-2023,28-Dec-2023
Kapchorua Tea Kenya Plc,Interim Dividend,Kes.10.00,17-Nov-2023,07-Dec-2023,13-Dec-2023
Williamson Tea Kenya Plc,Interim Dividend,Kes.10.00,17-Nov-2023,07-Dec-2023,13-Dec-2023
BK Group Plc,Interim Dividend,FRw.8.44,09-Nov-2023,29-Nov-2023,20-Dec-2023
Carbacid Investments Plc,Final Dividend,Kes.1.7,25-Oct-2023,24-Nov-2023,15-Dec-2023
KenGen Plc,Final Dividend,Kes.0.30,27-Oct-2023,30-Nov-2023,15-Feb-2024
ABSA Bank Kenya Plc,Interim Dividend,Kes.0.20,29-Aug-2023,21-Sep-2023,12-Oct-2023
NCBA Group Plc,Interim Dividend,Kes.1.75,24-Aug-2023,14-Sep-2023,28-Sep-2023
Umeme Ltd,Interim Dividend,Ushs.24,21-Aug-2023,09-Feb-2024,29-Feb-2024
Stanbic Holdings Plc,Interim Dividend,Kes.1.15,10-Aug-2023,04-Sep-2023,27-Sep-2023
East African Breweries Plc,Final Dividend,Kes.1.75,28-Jul-2023,15-Sep-2023,27-Oct-2023
B.A.T Kenya Plc,Interim Dividend,Kes.5.00,19-Jul-2023,18-Aug-2023,22-Sep-2023
Safaricom Plc,Final Dividend,Kes.0.62,11-May-2023,,31-Aug-2023
Williamson Tea Kenya Plc,Final Dividend,Kes.30.00,04-Sep-2023,,04-Sep-2023
