page,company_name,details_text
22,KCB Group Plc,KCB Group Plc; announced a Final Dividend of Kes.2.00; Books Closure 25-Apr-2022;
23,ABSA Bank Kenya Plc,ABSA Bank Kenya Plc; announced a Final Dividend of Kes.1.10; Books Closure 25-Apr-2022; Payment 26-May-2022
23,Standard Chartered Bank Kenya Ltd,Standard Chartered Bank Kenya Ltd; announced a Final Dividend of Kes.14.00; Books Closure 27-Apr-2022; Payment 25-May-2022
23,Stanbic Holdings Plc,Stanbic Holdings Plc; announced a Final Dividend of Kes.7.30 on 03-Mar-2022; Books Closure 20-May-2022;
23,Safaricom Plc,Announced an Interim Dividend of Kes.0.64 on 25-Feb-2022; Books Closure 17-Mar-2022; Payment 31-Mar-2022.
23,British American Tobacco Kenya Plc,Announced a Final Dividend of Kes.50.00 on 18-Feb-2022; Books Closure 22-Apr-2022; Payment 24-May-2022.
23,Sasini Plc,Announced a Final Dividend of Kes.0.50 on 11-Jan-2022 Payment 15-Mar-2022.
23,Car & General (K) Ltd,Announced a First & Final Dividend of Kes.3.20 on 06-Jan-2022; Payment 24-Mar-2022.
23,Car & General (K) Ltd,Announced a Bonus of 1:1 on 06-Jan-2022; Books Closure 24-Mar-2022; Crediting 08-Apr-2022.
24,KenGen Co. Plc,Announced a First & Final Dividend of Kes.0.30 on 01-Nov-2021 Payment 10-Feb-2022.
